code_magasin|identifiant_produit|ca
05681|E9E4339F53|786.4600000000003
05681|72093D03D4|548.3799999999998
05681|C63DF2D5BA|546.8999999999985
05681|299EA20198|460.5799999999997
05681|0E49C52673|438.17000000000024
05681|ECB817A406|349.2399999999998
05681|54C119533D|322.0699999999999
05681|8D60DCE9B6|317.3100000000002
05681|69986DAC70|307.1300000000001
05681|3C86110E83|286.71000000000026
05681|BAEB404EE6|281.0099999999998
05681|30D7EB24D5|270.24
05681|03A522EC13|269.4399999999998
05681|B7DAA2655B|268.89999999999986
05681|62CFD7B4DF|238.20000000000007
05681|255394B5D9|234.02999999999986
05681|EA0A9C4D1B|229.55999999999992
05681|24D27560E0|217.4399999999999
05681|FE543723FB|199.41000000000014
05681|CBA49C0630|195.34999999999994
05681|DEE8CED9B6|185.65999999999994
05681|7AF009F3FF|157.06999999999994
05681|A4DF03E731|156.16000000000003
05681|972E1843B1|155.62
05681|2FC8AB2927|153.22000000000003
05681|86B3F169D4|152.39999999999995
05681|EE8B8EB5A9|151.52000000000004
05681|9677CE6B8D|151.18999999999997
05681|8414233EDB|145.69999999999996
05681|4FB1020CE5|142.07
05681|89FE4CE40D|140.87
05681|7B59EAC55D|138.98999999999995
05681|62FA82161F|138.73999999999998
05681|0B34028D29|137.99
05681|13E500EE46|137.28
05681|7548AC9AAC|135.6
05681|FD95B10FC9|135.19999999999993
05681|912ABF3FFC|133.01999999999998
05681|E4E165AFD5|132.34000000000003
05681|A2353C3A64|129.97000000000006
05681|D69EAF8739|129.95000000000002
05681|AEF332A9EA|127.90999999999991
05681|E31E0AF84F|127.61999999999998
05681|92328AD08C|126.69999999999997
05681|9BE3657B48|125.89
05681|1F67F56F80|125.30999999999995
05681|AE41F28CD7|124.98999999999997
05681|12F078CD70|124.92000000000002
05681|48A79402E2|123.79999999999998
05681|9B45EEBF5A|121.52999999999999
05681|2DFE000DF7|121.40999999999994
05681|A456F8726D|120.50000000000001
05681|65FDC787BC|119.42
05681|84CF154B88|118.41999999999999
05681|36EB54F5C3|116.82
05681|1048AD4061|116.32000000000002
05681|25CF09720B|116.03000000000003
05681|C41B4B22A1|115.08000000000003
05681|AE9D4CB1F3|110.60000000000001
05681|87672537B8|110.54999999999998
05681|DA1B2E890C|109.66999999999999
05681|697FD59DFF|109.55999999999999
05681|EE5E6511F7|109.46000000000005
05681|6FC1317E58|109.37999999999998
05681|A65473D117|109.20000000000002
05681|7804A50B55|108.46
05681|B12CA9ADF5|107.72000000000006
05681|7BED07D095|107.37
05681|BB43781A89|107.11999999999999
05681|60A4B9CBAD|106.16000000000001
05681|3CD42BDD53|103.59000000000003
05681|9C635BFC74|103.38000000000001
05681|CACCE8C4A1|103.17999999999996
05681|5225758C26|102.96
05681|D3C7A0E72A|102.93999999999998
05681|BEC68AF4C5|102.43999999999998
05681|EA6405B348|102.21000000000001
05681|87E61B8BAF|101.26000000000005
05681|DAF5678753|99.92
05681|226F1FA5C6|99.25
05681|DCDEB333E5|96.69999999999997
05681|3C6F935E06|96.38000000000001
05681|C8F90F8A7E|96.23999999999994
05681|06BA2AF15C|96.17
05681|43283BE548|95.93000000000002
05681|21139E2B34|95.75
05681|85EBBFF497|95.3
05681|62DDBADCD6|94.74
05681|FCD2CCA5DA|94.68
05681|27566F4E54|94.57000000000001
05681|BA973E9C36|94.55999999999997
05681|D2B50D1647|94.49000000000002
05681|957957D177|93.92999999999999
05681|F17276C8A9|93.32000000000001
05681|3257CC4F5D|92.87999999999998
05681|B82710B19F|92.48999999999998
05681|8EB2D58E6D|92.44
05681|60043E70DE|91.99000000000001
05681|F148225C21|91.53999999999998
05681|786CD0BA54|91.33
