code_magasin|identifiant_produit|ca
06122|11D6A71AF4|875.0999999999998
06122|EA7DDA7550|481.0000000000002
06122|EE5E6511F7|378.24999999999983
06122|3CD42BDD53|274.3399999999998
06122|03A522EC13|228.15999999999988
06122|87E61B8BAF|223.41
06122|7FD09F600B|221.82999999999984
06122|7804A50B55|216.92000000000013
06122|E0BC72EAE2|216.48000000000002
06122|72093D03D4|209.9399999999999
06122|0DECCE7B57|209.29000000000005
06122|A6ACA5708B|205.36999999999983
06122|0B622E5F0A|197.09999999999994
06122|89FE4CE40D|196.17000000000002
06122|2500AC543F|195.90000000000003
06122|9012BB30EB|193.44999999999993
06122|04C1716DBF|191.51999999999998
06122|3B034AE453|190.89999999999998
06122|E93ACA54B6|180.11999999999998
06122|A86DE929A6|175.77000000000004
06122|325AB2A671|174.86000000000007
06122|972E1843B1|168.24999999999997
06122|12F078CD70|164.18999999999994
06122|9CEBB5425C|156.16
06122|299EA20198|139.04999999999998
06122|FCD2CCA5DA|136.6
06122|DA05C86D9C|134.91000000000005
06122|AC34BCC4D0|133.92000000000002
06122|9C1F3BBD23|133.76000000000005
06122|D8597EBE4F|133.64999999999998
06122|21AAE3A92C|132.72999999999996
06122|5DD10AD329|132.26
06122|62FA82161F|128.42
06122|E6F763221D|128.17999999999998
06122|0A303F8B36|126.10000000000002
06122|49524DECD4|120.55999999999996
06122|EBF5A6C114|119.76000000000003
06122|0C910DD24F|119.48999999999997
06122|2E7D6FD6EF|118.47999999999995
06122|4DFD1E0168|116.93000000000005
06122|DFAD303259|114.57000000000001
06122|0776E3EFE7|113.39999999999996
06122|37D73A1E0B|112.79999999999995
06122|45D7311573|112.79
06122|4663684251|112.75
06122|E4E165AFD5|112.37000000000005
06122|60043E70DE|112.32000000000001
06122|65FDC787BC|111.67000000000003
06122|218FC8F449|110.86
06122|8AF60ED81C|109.33999999999999
06122|B0E604A9B4|106.99000000000004
06122|E1C031CAEC|105.75000000000001
06122|B966B91BC8|104.71999999999997
06122|B17FF01081|104.5
06122|9B2C50CC08|104.47999999999999
06122|1C5AE627F1|103.63999999999997
06122|5238215E8E|99.77
06122|FED9D8DB9B|98.96000000000002
06122|B87FCDC929|98.69999999999999
06122|9ED4FE8EFA|97.5
06122|7D1A787557|97.22000000000003
06122|95B8016B55|96.85000000000001
06122|2DD67005E7|96.04000000000006
06122|3E305B537C|95.19
06122|2D412CD3E5|93.7
06122|28EAFCC7EB|93.26
06122|9FBBD4327B|93.23999999999998
06122|DFFB3D8C43|93.19999999999999
06122|84CF154B88|92.35
06122|DA892A1D32|92.18
06122|9677CE6B8D|91.68999999999998
06122|4757B9DFEE|91.02
06122|66D94266DC|90.86999999999996
06122|CCF7E8D251|90.54
06122|F148225C21|90.0
06122|DEE8CED9B6|89.9
06122|B6B9BE7EE8|89.84000000000002
06122|2FC8AB2927|89.61999999999999
06122|DA1B2E890C|89.5
06122|F8035ECEF6|88.43999999999997
06122|7B133B3FE9|87.99999999999999
06122|1FC3543067|87.75999999999998
06122|28D9796241|87.50999999999998
06122|06A4EF88FF|87.28
06122|A3BA455174|87.21
06122|BA42C181BF|86.66000000000003
06122|1C5170E1EA|86.16000000000003
06122|EE6014BA21|83.68
06122|4FB1020CE5|83.56
06122|1F1DCC97DF|83.20000000000002
06122|30D7EB24D5|82.91999999999999
06122|C0BCC4B267|82.38000000000001
06122|35DC664578|82.33999999999999
06122|FAACF15298|82.00000000000001
06122|55E3041F42|81.95000000000002
06122|400BB060A6|81.89999999999999
06122|E38390BCA0|81.84
06122|BB84487974|80.92999999999999
06122|FE7463F2BA|80.82000000000002
06122|C8FE303BD7|80.19999999999997
