code_magasin|identifiant_produit|ca
74170|675D3B0071|3086.7199999999934
74170|4F40964261|2894.8500000000054
74170|33F8B18F21|2616.9099999999976
74170|37F61316CE|2305.7500000000036
74170|6BD9FFC2F3|2291.599999999964
74170|E415A2CE3C|1960.9200000000035
74170|EC7E584D80|1932.8900000000006
74170|7F17AAB536|1817.270000000006
74170|AD2310A79C|1466.470000000002
74170|146D0F6B5E|1379.1999999999985
74170|277A51688B|1365.0600000000006
74170|0D9900ED89|1317.500000000001
74170|08861060A5|1272.400000000001
74170|7975F437B9|1059.8800000000008
74170|85EE2F889E|1055.69
74170|05DF971F2D|1017.6699999999997
74170|8644F31FB1|992.569999999998
74170|E0CD6618F7|908.2500000000022
74170|83766AF9AA|897.7500000000006
74170|836B0F0F4C|867.9299999999996
74170|A8A6117F83|866.0400000000003
74170|55595ABC84|851.8799999999998
74170|BE01893443|802.1899999999986
74170|331F558F89|788.9299999999995
74170|5BA4C008FB|784.8899999999998
74170|8BE9FD27A7|778.9500000000004
74170|10B09F0375|749.3599999999994
74170|055ADC720A|716.9599999999988
74170|594C6621CE|704.2099999999996
74170|E28AF5CEE9|695.9799999999998
74170|C0E354B3F7|679.0699999999996
74170|73C9D566AB|676.0499999999997
74170|8B70E0048E|675.5899999999998
74170|29E4AFAD3D|670.6699999999997
74170|E69B12F227|669.5299999999992
74170|344AB8AFBB|652.4599999999996
74170|FFB52FA183|649.0799999999999
74170|423A94E59C|643.219999999998
74170|A63760DBC7|639.3500000000006
74170|22CB002E79|639.3000000000009
74170|43DDFF958A|637.8000000000004
74170|A7DB85D8C1|635.0899999999993
74170|66B5FC2AE7|634.83
74170|685381FA5F|629.5799999999998
74170|70002EDD5C|622.2699999999999
74170|14537CE2DD|614.2599999999995
74170|B46C074694|610.8200000000003
74170|F3C62D6101|600.3
74170|12285FA66C|594.0199999999996
74170|961B725BE4|573.4400000000004
74170|87C27CF9F8|571.6600000000003
74170|5BF9FF96DF|566.5300000000008
74170||556.9299999999996
74170|85E393632A|543.1299999999995
74170|633FC8C811|542.4700000000003
74170|AA7538E056|539.7200000000001
74170|24F2123C6B|534.4200000000004
74170|1B09DE142B|532.81
74170|E87AC2ED2F|532.2700000000003
74170|9C5DA2780F|528.4400000000005
74170|C22DC3D4FF|508.6300000000001
74170|AC9F5D69DD|506.6399999999998
74170|F4ADD29B74|500.3099999999999
74170|A808AD469D|497.25000000000006
74170|A5447EA3B8|495.65000000000003
74170|0A8277F9E1|495.329999999999
74170|63E616C687|494.8799999999991
74170|CC730168B4|493.40999999999974
74170|942FABCE61|487.99999999999955
74170|91B96C9736|486.9399999999993
74170|B65F89E259|469.8199999999991
74170|74474319FD|469.34999999999997
74170|D27E955E66|465.78000000000026
74170|68B70D2EA1|463.28000000000003
74170|46863EF880|459.7099999999997
74170|0CAF44B4C1|453.4599999999996
74170|FCDA06BA89|449.3
74170|073BD438FD|448.86000000000024
74170|133402192B|447.25999999999937
74170|D796B82E56|444.4200000000002
74170|549A18D6AD|440.7800000000002
74170|81DDCB51F1|437.5499999999997
74170|DCBE6FFD64|435.1100000000002
74170|17F5A7A444|433.74000000000024
74170|D8E9377FA9|432.03999999999974
74170|CD4DB3E440|431.39000000000004
74170|EEEA6B1C42|431.02
74170|534697ADBD|430.9599999999995
74170|D5F649E350|429.3199999999999
74170|338B047DEE|429.10999999999984
74170|C54F3DB1E1|428.4899999999999
74170|F6587FA3C9|421.59000000000015
74170|FCD2CCA5DA|419.6899999999998
74170|F6CADC5686|415.2899999999999
74170|A734EB6AA2|414.4499999999998
74170|B9C59F70D0|413.93999999999966
74170|8FC0E8181C|411.6200000000003
74170|F36180A664|410.30000000000024
74170|A122B8F0E7|405.39
74170|CA1CCEBBCC|404.68999999999954
